,Date,Time,Category,Sub-Category,Headline,Entire_News,Author,News_Link
0,"April 08, 2022",18:11 IST,business,industry,Cabinet allows PSUs to surrender non-operational coal mines," The Cabinet Committee on Economic Affairs (CCEA) on Thursday approved the Coal Ministry's proposal to give Central and State public sector undertakings (PSU) a one-time window to surrender non-operational coal mines without penalty, the government said on Friday. The CCEA, chaired by Prime Minister Narendra Modi, had taken the decision at Thursday evening's meeting.  The government said in a statement that the PSUs would be allowed to surrender non-operational mines without giving any reason.  ""This may release several coal mines which the present government PSU allottees are not in a position to develop or are disinterested and could be auctioned as per the present auction policy. Three months’ time will be granted to the allottee government companies to surrender the coal mines from the date of publication of the approved surrender policy,"" the government statement read.  The government said that after the Supreme Court order on cancellation of coal blocks in 2014, many of those blocks had been allotted to PSUs. ""The allocation route was expeditious and it was expected that the coal requirement of State GENCOs would be met from those blocks... Given the context of allocation of coal blocks at that point of time, conditions for times lines for operationalisation of coal blocks were very stringent and firm leaving no wriggle room either to the successful allottee or the nominated authority. Penalisation for delay in operationalisation of coal mines has resulted in disputes and court cases,"" the statement read.  It added that as of December 2021, 45 out of the 73 mines allotted to PSUs remained non-operational. ""Delays were due to reasons beyond the control of allottees, for example, law and order issues; enhancement in the area of forest from what was declared earlier; resistance of land-holders against land acquisition; geological surprises in terms of availability of coal resources,"" the government said.  It added that the CCEA's decision would lead to the coal blocks being offered under the recently launched commercial coal mines auction policy.",The Hindu Bureau,https://www.thehindu.com/business/Industry/cabinet-allows-psus-to-surrender-non-operational-coal-mines/article65302956.ece
1,"April 08, 2022",11:17 IST,business,industry,RBI Monetary Policy | Repo rate left unchanged at 4%," The Monetary Policy Committee (MPC) of the Reserve Bank of India (RBI) on April 8, based on an assessment of the macroeconomic situation and the outlook, voted unanimously to keep the policy repo rate unchanged at 4%.  “The MPC also unanimously decided to remain accommodative while focussing on withdrawal of accommodation to ensure that inflation remains within the target going forward, while supporting growth,” RBI governor Shaktikanta Das said while making the announcement. The marginal standing facility (MSF) rate and the bank rate remain unchanged at 4.25%. Further, the Reserve Bank has decided to restore the width of the Liquidity Adjustment Facility (LAF) corridor to 50 basis points, the position that prevailed before the pandemic. “The floor of the corridor will now be provided by the newly instituted standing deposit facility (SDF), which will be placed 25 basis points below the repo rate, i.e., at 3.75%,” he said. Explaining the MPC’s rationale for its decision on the policy rate and the stance, he said the expected positive benefits from the ebbing Omicron wave have been offset by the sharp escalation in geopolitical tensions. “This has significantly changed the external and domestic landscape. Concerns over protracted supply disruptions have rattled global commodity and financial markets, given the significant share of the two economies engaged in war in global production and exports of key commodities like oil and natural gas; wheat and corn; palladium, aluminium and nickel; edible oils; and fertilizers. Global crude oil prices briefly crossed US$ 130 per barrel, touching their highest level since 2008 and remain volatile at elevated levels, despite some correction,” he added. “Global food prices, along with metal and other commodity prices, have also hardened significantly. Risk aversion towards assets of emerging market economies (EMEs) has increased, leading to large capital outflows and a depreciating bias in their currencies. These developments have, first, ratcheted up the projections of global inflation, which was already running well above targets in major countries; and second, will produce sizeable adverse impact on output across geographies,” he said. Emphasising that geopolitical tensions have exacerbated at a time when the global economy was grappling with a sharp rise in inflation and consequent monetary policy normalisation in major advanced economies, he said global supply chain disruptions and input cost pressures are now expected to linger even longer.  “The resurgence of COVID-19 infections in some major economies in March and the associated lockdowns run the risk of further aggravating the global supply bottlenecks and input cost pressures. World trade and output and hence external demand are likely to be weaker than envisaged two months ago,” he said. Overall, the external developments during the past two months have led to the materialisation of downside risks to the domestic growth outlook and upside risks to inflation projections presented in the February MPC resolution, he noted. Inflation is now projected to be higher and growth lower than the assessment in February. Economic activity, although recovering, is barely above its pre-pandemic level, he added. The governor said as the horizon was brightening up, escalating geopolitical tensions have cast a shadow on our economic outlook. Under this circumstances the real GDP growth for 2022-23 is now projected at 7.2% with Q1:2022-23 at 16.2%; Q2 at 6.2%; Q3 at 4.1%; and Q4 at 4.0%, assuming crude oil (Indian basket) at US$ 100 per barrel during 2022-23, Mr. Das said. Similarly, inflation is now projected at 5.7% in 2022-23, with Q1 at 6.3%; Q2 at 5.8%; Q3 at 5.4%; and Q4 at 5.1%. In his opening remarks, he observed, “We are confronted with new but humungous challenges – shortages in key commodities; fractures in the international financial architecture; and fears of deglobalisation. Extreme volatility characterises commodity and financial markets.” “While the pandemic quickly morphed from a health crisis to one of life and livelihood, the conflict in Europe has the potential to derail the global economy. Caught in the cross-current of multiple headwinds, our approach needs to be cautious but proactive in mitigating the adverse impact on India’s growth, inflation and financial conditions,” he added. “We are, however, reassured by the strong buffers that we have built over the past few years, including large foreign exchange reserves, significant improvement in external sector indicators and substantial strengthening of the financial sector, all of which would help us to weather this storm. Once again, we in the RBI stand resolute and in readiness to defend the economy and navigate out of the current storm,” he further added.",Lalatendu Mishra,https://www.thehindu.com/business/Economy/rbi-keeps-lending-rates-unchanged/article65302154.ece
2,"April 08, 2022",09:32 IST,business,industry,"Amazon objecting to union’s victory in New York, alleging interference"," Amazon.com accused the new
union at a New York City warehouse of threatening workers unless
they voted to organise, an assertion an attorney for the labour
group called ""really absurd."" (Sign up to our Technology newsletter, Today’s Cache, for insights on emerging themes at the intersection of technology, business and policy. Click here to subscribe for free.) A second labour group, the Retail, Wholesale and Department
Store Union (RWDSU), which was losing a bid to organise an
Amazon warehouse in Alabama, also filed objections on Thursday
to that union election. The U.S. National Labor Relations Board (NLRB) is giving
Amazon until April 22 to back up its objections to last week'selection in New York, in which Staten Island workers voted toform the company's first U.S. union. Amazon had requested extra
time to provide evidence because its objections are
""substantial,"" it said in a filing Wednesday. A certified election result would give organised labour a
foothold in the United States' second-largest private employer,
with the potential to alter how Amazon manages its finely tuned
operation. Some 55% of workers who voted in the election at Amazon's
JFK8 warehouse in the New York City borough of Staten Island
opted to join the Amazon Labor Union (ALU), which has demanded
higher pay and job security. Since the result, U.S. workers from
another 50 Amazon sites have contacted the union, the group's
leader has said. Among Amazon's planned objections to the outcome are that
the ALU interfered with employees in line to vote and that long
waits depressed turnout, Amazon's filing said. Some 58% of
eligible voters cast ballots in person over several days. Eric Milner, an attorney representing the ALU from law firm
Simon & Milner, dismissed Amazon's claims as false and said they
would be overruled. ""To say that the Amazon Labor Union was threatening
employees is really absurd,"" he said. ""The Amazon Labor Union is
Amazon employees."" Separately on Thursday, the RWDSU objected to the electionin Bessemer, Alabama, in which Amazon workers voted againstunionising. It was the second election in Bessemer, after the
NLRB determined that Amazon had improperly interfered in the
first contest there last year. The most recent outcome is
pending in light of hundreds of challenged ballots and now the
RWDSU's objections, which could delay a result for months. Amazon spokesperson Kelly Nantel said, “We want our
employees’ voices to be heard, and we hope the NLRB counts every
valid vote.” In a filing, the RWDSU said Amazon unlawfully removed
pro-union literature from non-work areas and terminated an
employee who spoke in favour of the union during mandatory work
meetings, among other objections. The RWDSU said these were
grounds for the NLRB to set aside the result. Amazon itself took issue with the RWDSU's conduct, such as
the union's communications with workers around the use of a
mailbox on warehouse property, adding that its filing objections
is standard process. The retailer faces a high bar in demonstrating that the New
York union violated rules for engagement with employees that
influenced the outcome, said John Logan, a labor professor at
San Francisco State University. In addition, the NLRB typically treats employers' alleged
violations more seriously than alleged wrongdoing by unions
because companies have greater power over workers, he said. ""It's going to be really tough"" for Amazon, he said.",author not available,https://www.thehindu.com/sci-tech/technology/amazon-objecting-to-unions-victory-in-new-york-alleging-interference/article65302030.ece
3,"April 07, 2022",17:09 IST,business,industry,Hindustan Coca-Cola Beverages to invest ₹600 crore on new plant in Telangana," Hindustan Coca-Cola Beverages, the bottling arm of beverage giant Coca-Cola in India, will be setting up its second factory in Telangana with an investment of ₹600 crore.  The company, whose existing plant in the State is at Ameenpur, near Hyderabad, has been allotted 48.53 acres at the Bandathimmapur Food Processing Park, Siddipet district, by Telangana State Industrial Infrastructure Corporation for the proposed facility. It will be a state-of-the-art, digitally enabled, automated, smart factory to manufacture juices, enhanced water, packaged water as well as sparkling beverages and expected to be ready for commercial production at the end of 2023. HCCB will be investing ₹600 crore on the first phase followed by another ₹400 crore in subsequent phases over the next five years, Telangana Industries and IT Minister K.T. Rama Rao told a programme here on Thursday in which the company also entered into three memoranda of understanding with the State government.  Women will constitute 50% of the workforce at the new factory, he said, assuring the company of support and expeditious approvals. Urging the beverage maker to launch Indianised products, the Minister said the government could facilitate local sourcing of mangoes and sweet lime for the company, something that will benefit the producers too. “The prevailing industrial ecosystem and industrial climate in Telangana has encouraged them to double the manufacturing capacity. This [new] factory will provide capacity for next ten years of sales foreseen in the region,” Mr. Rao said. Chairman and CEO Neeraj Garg said, “We value the support and encouragement we receive from the State... will shortly begin work on the new greenfield [project].” While 300 direct jobs are to be created, the multiplier effect of the factory by way of indirect jobs, local sourcing will be higher.  To queries, senior executives of HCCB said water for the factory, just like for other units at the Food Park, will come from Kaleswaram project. On production capacity of the factory and quantum of water required, they said granular details were being worked out. The memoranda of understanding, signed in the presence of the Minister and Chief Commercial Officer, Bottling Investments Group of the Coca-Cola Company Juan Pablo Rodriguez, pertains to capacity building of organisations in the areas of water; solid waste management; and skill building.  HCCB in a release said it will conduct capacity building for existing and upcoming water use intensive industries in Telangana to improve water efficiency and enhance wastewater management and reuse as well as to improve solid waste management. In partnership with Telangana government’s TASK, HCCB will impart skill training to over 10,000 youth in two years.",author not available,https://www.thehindu.com/news/national/telangana/hindustan-coca-cola-beverages-to-invest-600-crore-on-new-plant-in-telangana/article65299118.ece
4,"April 07, 2022",11:52 IST,business,industry,CNG price hiked by ₹2.50 per kg for second day in a row in national capital,"  Compressed Natural Gas (CNG) prices in the national capital on April 7 were hiked for the second day in a row by ₹2.50 per kilogram, taking the total increase since March to ₹12.5 per kg. CNG in the National Capital Territory (NCT) of Delhi now costs ₹69.11 per kg, up from ₹66.61 per kg, according to the information posted on the website of Indraprastha Gas Limited (IGL) — the firm which retails CNG and piped cooking gas in the national capital and adjoining cities.  Rates had gone up by ₹2.50 per kg on Wednesday as well. However, there was no change in the rates of Piped Natural (Cooking) Gas (PNG). It continues to cost ₹41.61 per standard cubic metre. CNG prices in Delhi have increased by ₹12.48 per kg since March when city gas distributors started factoring in high international energy prices.  On Thursday, Mahanagar Gas Limited (MGL) raised Compressed Natural Gas (CNG) price by ₹7 per kg to ₹67 per kg in Mumbai while Gujarat Gas hiked rates by ₹6.50 per kg to ₹76.98 per kg. Prices vary from city to city depending on the incidence of local taxes such as VAT.  The increases come on the back of the government more than doubling natural gas prices to $6.1 per million British thermal unit from April 1. Natural gas when compressed becomes CNG for use as fuel in automobiles. The same gas is also piped to household kitchens and industries for cooking and other purposes.  The increase in CNG prices follows ₹10 per litre hike in petrol and diesel prices in 16 days and a ₹50 per cylinder raise in the cooking gas LPG rates. A record 137-day hiatus in petrol and diesel price revision ended on March 22. On the same day, the price of a 14.2-kg LPG cylinder was increased to ₹949.50 in the national capital. In some places, the LPG price has touched ₹1,000.  According to IGL, CNG will now cost ₹71.67 per kg in Noida, Greater Noida and Ghaziabad and ₹77.44 per kg in Gurugram, the cities adjoining Delhi. ",author not available,https://www.thehindu.com/business/Industry/cng-price-hiked-by-250-per-kg-for-second-day-in-a-row-in-national-capital/article65298677.ece
5,"April 06, 2022",22:08 IST,business,industry,BPCL buys 2 million barrels of Russian Urals for May loading,"  Bharat Petroleum Corp Ltd has bought 2 million barrels of Russian Urals for May loading from trader Trafigura, two sources familiar with the purchase said. Refiners in India, the world's third biggest oil importer and consumer, have been snapping up Russian oil through spot deals since Russia's invasion of Ukraine on Feb. 24, taking advantage of deep discounts as other buyers back away. BPCL and Trafigura did not immediately respond to requests for comment. The state-run refiner regularly buys Russian Urals for its 310,000 barrels per day (bpd) Kochi refinery in southern India. With BPCL's purchase, India has so far booked at least 16 million barrels of Russian oil since Feb. 24, similar to imports in all of 2021, according to Reuters calculations. The Urals discount to dated Brent has hit a record for the post-Soviet era as some buyers shunned Russian oil. Unlike several Western countries, India has not banned Russian oil imports. India's foreign minister S. Jaishankar said on Wednesday the government was working to stabilise economic transactions with Russia, a day after India condemned killings of civilians in Ukraine and called for an independent probe. Mr. Jaishankar told lawmakers in Parliament that Russia continued to be a critical economic partner and efforts were underway to ""stabilise economic transactions between India and Russia."" India's finance minister Nirmala Sitharaman last week said India would buy Russian oil if available at a discount. ""India's overall interest is what is kept in mind ... I would put my country's national interest first, and I would keep my country's energy security first,"" she said. ",author not available,https://www.thehindu.com/business/Industry/bpcl-buys-2-million-barrels-of-russian-urals-for-may-loading/article65297362.ece
6,"April 06, 2022",21:46 IST,business,industry,"HDFC Bank plans to raise up to ₹50,000 cr. by issuing bonds"," The country's largest private sector lender HDFC Bank on Wednesday said it was planning to raise up to ₹50,000 crore in the next one year by issuing bonds on a private placement basis. ""The bank proposes to raise funds by issuing perpetual debt instruments (part of additional tier I capital), tier II capital bonds and long-term bonds (financing of infrastructure and affordable housing) up to a total amount of ₹50,000 crore over the period of next 12 months through private placement mode,"" HDFC Bank said in a regulatory filing. The board of directors would consider this proposal at its meeting to be held on April 16, 2022, it added. Perpetual bonds carry no maturity date, so they may be treated as equity, not as debt. Earlier this week, HDFC Bank agreed to merge its parent and the country's largest mortgage lender HDFC Ltd. with itself, as part of its strategy to fuel growth, especially in the affordable housing segment. Shares of HDFC Bank dipped 3.51% to ₹1,550.80 apiece on the BSE.",author not available,https://www.thehindu.com/business/hdfc-bank-plans-to-raise-up-to-50000-cr-by-issuing-bonds/article65297306.ece
7,"April 06, 2022",20:44 IST,business,industry,"Some Indian refiners set to cut May Saudi oil, snap up Russian barrels"," At least two Indian refiners plan to buy less Saudi oil than usual in May, after the kingdom raised the official selling price (OSP) to record highs for Asia, two sources said on Wednesday, as India increases purchases of cheap Russian crude. India, the world's third biggest oil importer and consumer, has been hit hard by rising crude values, with pump prices in some States touching record highs. State oil producer Saudi Aramco, the world's top oil exporter, has raised crude prices for all regions, with
those to Asia hitting all-time highs. The Middle East accounts for the bulk of India's oil imports, with Iraq and Saudi Arabia the top two suppliers to Asia's third largest economy. The sources at the two Indian refiners declined to be named, citing confidentiality. They did not disclose the volumes refiners would buy, and said the reductions in May would be marginal because they have to lift the amount they have committed to under annual contracts. To mitigate the rising cost of oil imports, India has turned to Russian barrels that are available at a deep discount to the dated Brent benchmark , citing ""national interests"". Some companies and countries have shunned Russian crude after the country began its invasion of Ukraine on February 24. Moscow refers to the conflict as a ""special military operation"". Indian refiners have bought at least 16 million barrels of cheaper Russian oil for May loading on a delivered basis, similar to purchases for the whole of 2021, according to Reuters calculations. The companies have mostly bought Russian Urals, a grade similar in quality to medium sour crude produced in the Middle East and West Africa, mainly Angola. Ehsan Ul Haq, an analyst from Refinitiv, said rising purchases of Russian crude meant India would likely buy less from Middle Eastern suppliers, including spot purchases of grades such as Iraq's Basra oil. In turn, more Gulf crude, as well as some West African blends could end up in Europe, one of the Indian refiner sources said. ""Apart from altering trade flows, shifts in buying patters will likely raise freight costs because there will be long-haul journeys,"" Mr. Haq said. Although Russian imports were meeting only a small fraction of India's overall needs, he said they were significant for Russia as it loses market share in traditional European markets.",author not available,https://www.thehindu.com/business/some-indian-refiners-set-to-cut-may-saudi-oil-snap-up-russian-barrels/article65297053.ece
8,"April 06, 2022",20:15 IST,business,industry,Maruti Suzuki to raise vehicle prices this month," The country's largest carmaker Maruti Suzuki India (MSI) on Wednesday said it will increase prices of its entire model range this month amid rise in input costs.  Over the past year, the cost of the company's vehicles continued to be adversely impacted due to increase in various input costs, the auto major said in a regulatory filing.  ""Therefore, it has become imperative for the company to pass on some impact of the above additional costs to customers through a price hike,"" it added.  The company has planned to increase the prices in April and the increases will vary for different models.  However, the company did not disclose the quantum of the proposed price increases  MSI has already raised vehicle prices by about 8.8% from January 2021 to March 2022 owing to the consistent increases in input costs. Auto companies have been increasing prices with rise in cost of commodities such as steel and aluminium and precious metals such as palladium.  The industry has also been citing the increase in freight and transportation charges as well as in the cost of electronic components as factors for increasing vehicle prices. Various automakers have announced prices increases or plans to raise prices of their respective products from this month.  Toyota Kirloskar Motor has raised prices of its entire model range by up to 4% from April 1 to offset the impact of rising input costs.  Similarly, BMW India has raised product prices by up to 3.5% from this month. Other luxury carmakers such as Audi and Mercedes-Benz have also increased prices from April 1.",author not available,https://www.thehindu.com/business/maruti-suzuki-to-raise-vehicle-prices-this-month/article65296819.ece
9,"April 06, 2022",19:53 IST,business,industry,Paytm shares dropped on volatile market conditions:Vijay Shekhar Sharma,"  In an attempt to allay shareholders’ concerns, Paytm founder and CEO Vijay Shekhar Sharma has cited volatile market conditions for high-growth stocks globally as a reason for the company’s shares trading at significantly lower price compared with the IPO price, adding that his stock grants will be vested to him only when Paytm’s market cap crossed the IPO level. In a letter to his shareholders, Mr. Sharma wrote that he believed the company should be operating EBITDA breakeven in the next six quarters (EBITDA before ESOP cost, and by the quarter ending September 2023) without compromising any of its growth plans “encouraged by our business momentum, scale of monetisation and operating leverage”. The company’s stocks were listed on stock exchanges in mid-November last year. It’s issue price was ₹2,150/ per share. It is currently trading much lower than half the issue price. On Wednesday, the company’s shares closed 4.57% higher at ₹637.15 on the BSE. “Against the backdrop of volatile market conditions for high-growth stocks globally, our shares are down significantly from the IPO price. Rest assured, the entire Paytm team is committed to build a large, profitable company and to create long-term shareholder value,” he said. Mr. Sharma, “Aligned with this, my stock grants will be vested to me only when our market cap has crossed the IPO level on a sustained basis.” The company in a communication to the exchanges added that its lending business scaled to 6.5 million loan disbursals during the fourth quarter, aggregating to a total loan value of ₹3,553 crore, a year-on-year growth of 417%. Additionally, Paytm App’s average monthly transacting users (MTU) for the quarter grew 41% YoY to 70.9 million and total merchant payment volume (GMV) processed through its platform aggregated to approximately ₹2.59 lakh crore, marking a y-o-y growth of 104%.",author not available,https://www.thehindu.com/business/paym-shares-dropped-on-volatile-market-conditionsvijay-shekhar-sharma/article65296582.ece
