,Date,Time,Category,Sub-Category,Headline,Entire_News,Author,News_Link
0,2022-03-14,16:50:19,society,fact-check,"Fact check: No, Ugandan cop didn't hit journalist with catapult; here's the truth"," A Ugandan cop is creating a buzz on social media. His photo has gone viral on social media, wherein he can be seen posing with a catapult. More than the photo, it is the context with which it was shared on Twitter that has prompted a response from netizens. The claim A viral social media post claimed that an Uganda police spokesman hit a journalist with a catapult. The back the claim, a photo of the said officer aiming a catapult convinced the masses. ""Newly appointed Uganda police spokesman hits news reporter with a catapult for asking irrelevant question,"" a Twitter user (_@Sir_CharlesR) alleged in a tweet on Saturday. The post went viral shortly after. It got nearly 7,000 RTs and over 25,000 likes. Many shared the post as humour, taking a dig at Indian media, while others questioned its authenticity. Several users on Twitter shared the post with the same claim, making the masses believe. Fact check International Business Times reviewed the viral claims on social media. With a reverse image search of the viral photograph, we were able to find a link to a YouTube video by UBC Television Uganda, which is an Uganda public broadcast service. The person seen in the photo is Fred Enanga, Ugandan police force spokesperson, and from a video, in which the officer is warning the public about notorious gangs targeting civilians with catapults. The video was uploaded on April 13, 2021, and the caption clearly debunks the viral claims made on Twitter. The caption read: ""UGANDAN POLICE TIGHTEN VIGILANCE AGAINST CATAPULT GANGS."" In the video, the officer can be heard saying: ""You do like this and you target somebody. So you can see how dangerous this thing is"" while pulling the catapult. ""They are very dangerous because they are capable of firing metallic and credible projectiles or metallic bearings,"" he had warned. In the description of the video, it read: ""Uganda police is investigation about a criminal gang trading terror activities using catapults to destabilize the country. While addressing the media in the weekly brief, the spokesperson of police Fred Enanga says some suspects are already apprehended as police is tracing for the rest."" Besides this evidence, the official Twitter handle of Uganda Police Force also responded to one of the viral threads saying ""fake news"". The thread was by a popular Kenyan lawyer Ahmednasir Abdullahi, who took potshots at the Uganda Police while sharing the viral photo of Fred Enanga. Abdullahi deleted his tweet after the correction. Based on these facts, IBTimes has arrived at the conclusion that the viral photo claiming to be of a Ugandan cop hitting a journalist with a catapult is false and baseless.","
Sami Khan                                            ",https://www.ibtimes.co.in/fact-check-no-ugandan-cop-didnt-hit-journalist-catapult-heres-truth-846565
1,2022-02-21,21:54:03,society,fact-check,"Fact check: Murdered Bajrang Dal activist not ""terrorist""; had no links to Tripura violence"," The brutal murder of Bajrang Dal activist in Shivamogga district of Karnataka on Sunday has spurred tensions in the communally-sensitive region of the southern state. Prohibitory orders were clamped and holiday announced on Monday for schools and colleges in the city. The police department is on high alert throughout the state after an incident of violence were reported. Fearing large-scale violence, the Shivamogga city has been turned into a police fortress. While the hunt for the murderers is underway, leaders from both sides of the party are demanding stringent actions against the culprits. The miscreants, who came in a car, had chased him and attacked him with lethal weapons and then escaped from the spot. Though Harsha was shifted to the Meggan hospital, he succumbed to injuries. Harsha was actively involved in Bajrang Dal and VHP activities. He used to be at the forefront during Ganesh festivities and visarjan ceremony. Tense situation prevailed immediately after the incident. Amidst all the chaos, a foreign journalist sparked a controversy after he called Harsha a ""terrorist"" and claimed that 23-year-old was involved in the communal violence that erupted in Tripura last October. The claim Foreign journalist CJ Werleman claimed in a tweet that Harsha was involved in the communal violence that took place in Tripura last year. He even called the Bajrang Dal worker a terrorist, all while labelling the organisation a ""terrorist organisation."" His tweet, in a matter of hours, gained thousands of likes and RTs. While most of the users on Twitter called out Werleman for his claims, some even sided with him. Many users asked the tweet be deleted and his account suspended. Fact check International Business Times reviewed the claims made in the tweet by Werleman. While the tweet clearly appears propagandist in nature, the lack of evidence to back the claims makes it bogus. Looking back, the foreign journalist has habitually spewed anti-India statements using incidents out of their context. In June last year, he had claimed that a Muslim man's beard for shaved off by ""Hindutva"" mob in UP for refusing to chant ""Jai Sri Ram' while the actual incident from far from it. Ghaziabad Police investigated the incident and found it to be related to a dispute over the amulets the man used to trade in. Similarly, the foreign journalist had called for boycott of ""Make in India"" products last year to save Muslims in India and J&K. He had even claimed that a Muslim graveyard was destroyed in Himachal Pradesh, which also was fake news. As for the current claim, Karnataka DGP Praveen Sood debunked the false allegations. He said, ""This is absolutely false. There is no connection of death to either terrorism or Tripura"" in response to the journo's tweet. Hence, IBTimes has also arrived at the conclusion that the claims made by the foreign journalist are false and the murdered Bajrang Dal activist had no connection to the Tripura violence.","
Sami Khan                                            ",https://www.ibtimes.co.in/fact-check-murdered-bajrang-dal-activist-not-terrorist-had-no-links-tripura-violence-845942
2,2022-02-16,01:03:07,society,fact-check,Fact check: Nandan Nilekani isn't launching crypto project; it's fake news," Discussion over cryptocurrency took prominence in the latest Budget. Infosys co-founder and its non-executive chairman Nandan Nilekani chimed in on the subject of crypto at the Reuters Next Conference. Not long after, rumours started making the rounds of the internet, saying Nilekani was launching a new crypto project. ""There is a role for crypto as assets but they obviously will have to follow all the laws and make sure that it doesn't become a backdoor for money laundering ... they have to use that [as] an entry point to get lot of young people into financial markets,"" Nilekani was quoted as saying. But it appears, his views on crypto started spinning the rumour mill. The claim Rumours about Nilekani launching his own crypto project spread like wildfire. Social media, WhatsApp and Telegram groups were buzzing with unverified reports that Nilekani will lead a crypto project in India. Some of these messages are accompanied by links. The reports of Nilekani's crypto project gave hope to advocates of the digital tokens in India, especially at a time when the Indian government is leaning in the opposite direction. The government has imposed hefty capital gains on crypto and is looking to classify crypto as an asset class. Fact check International Business Times reviewed the claims about Nilekani's crypto project. Even before the unverified reports got out of hand and started making the headlines, Nilekani was quick to issue a clarification on the matter. Not only did Nilekani rubbish the rumours, but he also warned people not to click on them. They may be malicious in nature. ""You may have encountered a post on various social media platforms claiming that I have launched a crypto project. This is fake news! Please avoid clicking on it and report it as misleading/false information on the platform where you see it,"" Nilekani tweeted. With this, Nilekani clarified that all the rumours about him launching a crypto project are false. Hence, IBTimes has arrived at the conclusion that Nilekani isn't launching a crypto project.","
Sami Khan                                            ",https://www.ibtimes.co.in/fact-check-nandan-nilekani-isnt-launching-crypto-project-its-fake-news-845754
3,2022-02-09,02:12:06,society,fact-check,Fact check: Indian flag not replaced by saffron flag in Karnataka amid hijab row [truth here]," Shocking details are emerging from the widespread incidents of violence from across Karnataka on Tuesday in the backdrop of hijab row. The miscreants have attacked a teacher with iron rods causing severe head injuries to him in Bagalkot district. But making another headline was the incident of replacing the national flag with a saffron one at a government college in Shivamogga. Many social media users, journalists, news publications claimed that the national flag was replaced with a saffron flag at a government college in Karnataka's Shivamogga, triggering an outrage. As the video of the incident went viral on social media with Congress leader DK Shivakumar tweeting about it, many users condemned the actions of the boys. But it was later clarified that there was no national flag on the pole when the boys hoisted the saffron flag. The claim As the hijab row got intense across Karnataka, the incident of a group of boys replacing the tricolour with saffron flag added fuel to the fire. Many condemned the actions of the unidentified boys. Many social media users, mainly DK Shivakumar and many other verified accounts of journalists and news outlets, tweeted about the incident. DK Shivakumar tweeted that ""The situation in some Karnataka educational institutions has gone so out of hand that in one case the National flag was replaced by a saffron flag."" #KarnatakaHijabRow @INCKarnataka president @DKShivakumar has tweeted saying replacing National flag with Saffron flag at #Shimoga is a breakdown of law and order.And the college should be closed for a week. pic.twitter.com/0Rr3RL4cyn Fact check The incident drew severe backlash mainly for the seriousness of the actions. Disrespecting the national flag is intolerable and a criminal offence, but as it appears, the claims made online were half-baked truths. While the boys did hoist a saffron flag on the pole of the Government First Grade College (CFGC) campus, they did not take down the national flag in doing so. In fact, BOOM reached out to Dhananjaya BR, the principal of the college, who confirmed that there was no tricolour on the pole when the students with saffron shawls hoisted the saffron flag. Further, none of the videos of the incident backs the claims of DK Shivkumar or any other users who condemned the actions of the boys. ""The flag pole was empty when the protesting students were there, if a tricolour was removed, there would have been more protests. I saw a student climb up and put the saffron flag there,"" the principal who was at the spot told BOOM.""There was no national flag on the pole then, and the last time it was hoisted was on January 26, 2022, and was removed after 6 pm that day. Since then the flag pole in the college has no flag hoisted on it,"" he added. Based on the facts available, IBTimes has arrived at the conclusion that the national flag was not replaced by a saffron flag in Shivamogga.","
Sami Khan                                            ",https://www.ibtimes.co.in/fact-check-indian-flag-not-replaced-by-saffron-flag-karnataka-amid-hijab-row-truth-here-845547
4,2022-02-08,18:20:45,society,fact-check,Fact check: Viral video falsely links J&K police to student unrest in KU [truth here]," University of Kashmir students are protesting against offline exams, while demanding the varsity to hold examinations online. A large number of engineering and nursing students of KU staged a protest on Monday, days after the administration announced that all the postponed and pending exams would be held from mid-February through offline mode. Amid the ongoing protests, a video went viral on social media, falsely claiming J&K police was interfering with the student unrest inside the KU campus. The claim Several users on Twitter are circulating a video of what appears to be from inside the KU campus and linking it to J&K police. According to some claims, J&K police was threatening students of the university. The video has been viewed thousands of times. One user, whose video went viral on Twitter, claimed the students were threatened with encounter. ""Fake encounter kra dain gay."" Jammu Kashmir Police threatening the students of university of #KashmirDay. pic.twitter.com/RGCbsORkt7 Fact check International Business Times reviewed the footage in question and the claims made by some users. Looking closely at the 15-second video, there's no evidence of J&K Police being present on the KU campus. In fact, the only piece of evidence the uploader has to link it to J&K police is the olive green jacket. Further, the Srinagar Police took note of the viral video and issued a clarification, debunking the claims. It said, the J&K Police has nothing to do with the internal matters of Kashmir University. ""There is a viral clip circulating in social media falsely linking J&K police with a student unrest inside KU. It is clarified that JKP has nothing to do with internal matters of KU. Police never enters edu institutes for this. Kindly don't malign us for hidden motivated agendas,"" Srinagar Police said in a tweet. The police further clarified its point, by pointing out that people wearing olive jackets are not always from police. ""All those wearing olive jackets aren't always from police. Do a fact check from Kashmir university authorities about identity of these persons before spreading fake news. Srinagar Police is always committed to uphold highly level of professionalism,"" the statement read. All those wearing olive jackets aren’t always from police. Do a fact check from Kashmir university authorities about identity of these persons before spreading fake news. Srinagar Police is always committed to uphold highly level of professionalism. Based on the official statement by the Srinagar Police and lack of evidence to support that J&K Police was threatening KU students, IBTimes has arrived at the conclusion that the viral video falsely linked to J&K Police.","
Sami Khan                                            ",https://www.ibtimes.co.in/fact-check-viral-video-falsely-links-jk-police-student-unrest-ku-truth-here-845537
5,2022-02-08,01:15:22,society,fact-check,"Fact check: SRK seen with manager in viral pic from Lata Mangeshkar's funeral, not Gauri Khan"," After the death of legendary singer Bharat Ratna Lata Mangeshkar on Sunday, many eminent personalities, including Bollywood celebrities, attended the 92-year-old singer's funeral. Among the celebrities, Shah Rukh Khan was also seen attending the funeral. King Khan was seen in the public after a long time, as the actor was avoiding public appearances since Aryan's Khan's drug case controversy. However, his appearance has caused some massive confusion among fans and followers on the internet. Shah Rukh Khan was accompanied to the funeral by his manager, Pooja Dadlani. However, many people have assumed that the 'Raees' actor was with his wife, Gauri Khan. Multiple posts on Twitter showed Shah Rukh Khan praying next to Lata Mangeshkar's dead body after offering floral tribute to the singer with another woman clad in white attire standing and praying next to him. ""Shah Rukh Khan and wife Gauri pay their respects to Lata Mangeshkar. Beautiful,"" wrote a person in a tweet. Another person wrote, ""This is India. Srk and his wife Gauri paying respects at Lata Mangeshkar's funeral."" This is India ??Srk and his wife Gauri paying respects at Lata Mangeshkar’s funeral???? pic.twitter.com/TgIWGfL3S0 International Business Times reviewed those claims and deemed it fit to clear the air once and for all. The fact is that Gauri Khan did not even attend the funeral and the actor was accompanied by his manager Pooja Dadlani at the venue. While Shah Rukh raised his hands in dua, Pooja was seen joining her hands in prayer. Shah Rukh Khan's fans corrected many people online who had the misconception, letting them know that it was Pooja and not Gauri. Upon closer inspection, it becomes clear that it is not Gauri. The hairstyle and complexion of Pooja are totally different from that of Gauri Khan. Even the height is a mismatch, giving a clear indication that SRK was accompanied by his manager and not Gauri to the funeral. Pooja has been working with Shah Rukh for years now and she often shares photos with the Khan family on social media. She was recently spotted at a lunch date with Gauri, Farah Khan, Seema Khan, Neelam Kothari Soni, Maheep Kapoor and others. Sharing photos from their meet, she wrote, ""Brunch with my favourite bunch... the Bollywood wives are just as much fun off screen... great food, great conversation and no gossip whatsoever."" A post shared by Pooja Dadlani Gurnani (@poojadadlani02) Early in October 2021, Pooja was also in news during Aryan Khan's drugs case controversy and she was alleged to have paid a huge amount of Rs 50 lakh to an independent witness of the Narcotics Control Bureau (NCB) after Shah Rukh Khan's son Aryan was detained from a Goa-bound ship off Mumbai's coast. Thus, after reviewing the evidence, International Business Times has concluded that it was Pooja Dadlani who was clicked with the actor and not his wife, Gauri Khan.","
Sanhati B                                            ",https://www.ibtimes.co.in/fact-check-srk-seen-manager-viral-pic-lata-mangeshkars-funeral-not-gauri-khan-845509
6,2022-01-07,22:29:49,society,fact-check,Fact check: Viral video calling for removal of Sikhs from Indian Army is morphed [truth here]," As Punjab elections approach, some anti-India elements sponsored by Pakistan are hard at work, spreading misinformation with the intention to destabilise the country. A video claiming to be from a Cabinet Committee on Security meeting is widely in circulation, which is creating waves across the country, especially in the border state of Punjab. Several propaganda handles are sharing the video, provoking a strong response from unsuspecting individuals who haven't been able to identify the fake content. The claim A video, claiming to be of a security meeting, is being circulated with the caption: ""Cabinet Committee on Security Meeting Minister Anurag Thakur, S Jaishankar calls for removal of Sikhs from the Indian army."" In the video, someone can be heard calling for the removal of all Punjabis from the Indian Army. ""All generals, all soldiers, remove all of them from top to bottom,"" a background voice is heard saying, while showing visuals from a Union Cabinet meeting. In the video, PM Narendra Modi, HM Amit Shah, MEA S Jaishankar, FM Nirmala Sitharaman and National Security Advisor Ajit Doval appear to be in attendance. #alert Cabinet Committee on Security Meeting Minister @ianuragthakur @DrSJaishankar Calls For Removal of #Sikhs From @adgpi #IndianArmy#IndiaStandsWithChanni v/s #BharatStandsWithModiJi@madhavgk@NikunjGargN@anjujuneja@dibang@kumkum26pic.twitter.com/Q2P0tnB3aw Many social media handles have circulated the video with the same content, and demanding action and retaliation. The video source is credited to one Anjali Kaur (@heyanjaliii), which was created last year and has nearly 1,000 followers, and Esha Kaur. Fact check International Business Times reviewed the video in question. At first glance, it becomes clear that it has been morphed. Upon further research, it is evident how the video came into being. Check out the facts here. The video is doctored as the source of the audio doesn't match that of the video. This alone dismisses the claims that the Indian government is considering removing all Punjabis from the Indian Army. Upon research, the audio traces to a Clubhouse discussion. The voice is of one Vikas Dubey, it was he who had made the suggestion of removal of Punjabis from the Army. The recorded audio had already been circulated on various platforms, which had received strong criticism. But then, the audio was superimposed on the video of a cabinet meeting to create unrest. The original video is also a month old. It was when PM Modi called for a high-level Cabinet Committee meeting after the death of CDS General Bipin Rawat. CDS Gen Bipin Rawat's chopper crash: PM Modi chairs Cabinet Committee on Security meeting | Catch the day's latest news and updates: https://t.co/C4SeSvrNJu pic.twitter.com/JgDoCBVAdJ The origin of the doctored video is traced back to ISI information war rooms, creating provocative content in India. This is a serious disinformation attempt against India to destabilise the country at the time of vital elections in the border state of Punjab. Many verified handles were able to quickly flag the video as manipulated. Taking cognisance of the nature of the video, the official handle of Press Information Bureau (PIB) debunked the claims. As for the Twitter handle @heyanjaliii that shared the video, the timeline is clear evidence that it is being run by anti-India elements. Other handles like @diyaaaakhan, @SeejalKaur, @eshalkaur1, @keerat506 all of them clearly belong to ISI war rooms. After reviewing the evidence, IBTimes has arrived at the conclusion that the viral video is doctored. Hence, the government did not hold any meeting, where it called for the removal of Punjabis from the Indian Army.","
Sami Khan                                            ",https://www.ibtimes.co.in/fact-check-viral-video-calling-removal-sikhs-indian-army-morphed-truth-here-844526
7,2021-12-27,20:07:13,society,fact-check,Fact check: Bank accounts of Mother Teresa's Missionaries of Charity not frozen by govt [truth here]," Serious allegations were levelled against the Ministry of Home Affairs (MHA) after reports of Missionaries of Charity's bank accounts being frozen emerged. The Centre was at the receiving end of severe backlash for freezing the bank accounts of Mother Teresa's charity organisation in India, as opposition leaders slammed the government. As these allegations gained ground, not only the MHA but the Missionaries of Charity (MoC) in India issued clarifications. While the claim that the bank accounts of MoC have been frozen are true, the Centre's role in it is unfounded. Read the whole story here. The claim When it was first reported earlier in the day that the bank accounts of Missionaries of Charity have been frozen by the government, West Bengal CM Mamata Banerjee slammed the Centre on Twitter. She wrote: ""Shocked to hear that on Christmas, Union Ministry FROZE ALL BANK ACCOUNTS of Mother Teresa's Missionaries of Charity in India! Their 22,000 patients & employees have been left without food & medicines. While the law is paramount, humanitarian efforts must not be compromised."" Banerjee, with her 6.4 million followers on Twitter, triggered a strong reaction. The tweet was re-shared and liked thousands of times as of this writing. While other leaders of opposition chimed in, a lot of users criticised the move by the government. Fact-check International Business Times reviewed the claims made by West Bengal CM and other users regarding the frozen bank accounts of Missionaries of Charity in India. Within hours of CM Mamata Banerjee's tweet, the MHA issued a statement clarifying the matter. Shortly after, Missionaries of Charity even released a statement. MHA official statement:  The renewal application under Foreign Contribution Regulation Act (FCRA) for the renewal of FCRA registration of Missionaries of Charity (MoC) was refused on 25 Dec 2021 for not meeting the eligibility conditions under FCRA 2010 and Foreign Contribution Regulation Rules (FCRR) 2011. No request / revision application has been received from Missionaries of Charity (MoC) for review of this refusal of renewal. Missionaries of Charity (MoC) was registered under FCRA vide Registration No 147120001 and its registration was valid up-to 31 Oct 2021. The validity was subsequently extended up-to 31 Dec 2021 along with other FCRA Associations whose renewal application were pending renewal. However, while considering the MoC's renewal application, some adverse inputs were noticed. In consideration of these inputs on record, the renewal application of MoC was not approved. The FCRA registration of MoC was valid up-to 31st December 2021. MHA did not freeze any accounts of MoC. State Bank of India has informed that MoC itself sent a request to SBI to freeze its accounts. MoC official statement: We appreciate the concern of our well-wishers and extend our heartiest greetings for Christmas and the New Year. We would like to clarify that the FCRA registration of the Missionaries of Charity has been neither suspended or canceled. Further, there is no freeze ordered by the Ministry of Home Affairs on any of our bank accounts. We have been informed that our FCRA renewal application has not been approved. Therefore as a measure to ensure there is no lapse, we have asked our centres not to operate any of the FC accounts until the matter is resolved,"" the statement read. Based on these official statements, it is clear that the MHA did not freeze the accounts of Missionaries of Charity in India. Going by MHA's official statement, as per SBI, MoC sent a request to SBI to freeze its accounts, which is can be corroborated by MoC's statement, where it said that it has asked its centres not to operate any of the FC accounts until the matter is resolved. Due to some adverse inputs in the MoC's renewal application, it was not approved by the Centre. Hence, IBTimes has arrived at the conclusion based on the official statements by MHA and MoC that the Centre did not freeze any bank accounts of Missionaries of Charity in India.","
Sami Khan                                            ",https://www.ibtimes.co.in/fact-check-bank-accounts-mother-teresas-missionaries-charity-not-frozen-by-govt-truth-here-844145
8,2021-12-14,01:10:49,society,fact-check,Fact check: Old video shared as Srinagar terror attack; goes viral with misleading context," In a shocking incident on Monday, two Jammu and Kashmir Police personnel were killed and 12 others injured by terrorists in the high-security Pantha Chowk area, on the outskirts of Srinagar city, on Monday. Two terrorists opened fire at the police bus from the front, shattering the vehicle's windshield. The terrorists then managed to escape after carrying out the dastardly attack. The injured police officials were evacuated to the 92 Base hospital. Prime Minister Narendra Modi expressed condolences to the families of the policemen martyred in a terrorist attack on the outskirts of Srinagar on Monday and sought details on the incident. While the attack was widely condemned by the masses, there's a video showing injured jawans in a police bus, which is being passed off as the footage from the incident with misleading context. The claim The ghastly terrorist attack in Srinagar made the national headlines, with reactions flowing from across the country. Many videos and photos showing jawans storming the site of the incident site have appeared online. Photos even showed the shattered windshield of the police bus, but one particular video showing severely injured jawans near a police bus has gone viral saying it is from Monday's incident. The video is widely circulated in WhatsApp groups, claiming to show the injured personnel after the terrorist attack. Towards the end of the video, one personnel is seen with a critical bullet injury to the shoulder and not responding. Some local media houses and propaganda sites have also shared the video, and made similar claims that it was from Monday's incident Fact check International Business Times reviewed the footage, which is widely circulated on WhatsApp. If you look at the video, it appears a civilian recorded it. Many civilians can also be seen trying to help the injured officials, but the video doesn't show other army personnel, which is inconsistent with the official images and videos we've received. We ran a reverse image search of the video frames and found it linked to an old incident, when terrorists had attacked a police party at Pantha Chowk in Srinagar. The incident had occurred on eve of Eid on September 1, 2017. The police bus was going from Bemina to Zewan when terrorists opened fire. Lashkar-e-Toiba had claimed responsibility for the attack. You can watch the original video HERE [Trigger warning: graphic video], which was shared in September 2017.  Hence, IBTimes has arrived at the conclusion that the viral video being passed off as recent is in fact old and not related to Monday's terrorist attack in Srinagar.","
Sami Khan                                            ",https://www.ibtimes.co.in/fact-check-old-video-shared-srinagar-terror-attack-goes-viral-misleading-context-843696
9,2021-11-30,03:15:05,society,fact-check,"Fact-Check: No, Parag Agrawal is not a hopeless Shreya Ghoshal fan; they're friends"," Parag Agrawal is the newly-appointed CEO of Twitter, joining the high-profile league of Indian and Indian-origin honchos, who are calling the shots at global corporations. Agrawal's appointment was announced by Jack Dorsey, who decided to step down from the company. With this announcement, Agrawal's Twitter notifications must be blowing up as his followers rapidly multiplied in a matter of hours, currently standing at over 140,000. That's besides the congratulatory messages he's been receiving from all over the world. Meanwhile, some users dug up Agrawal's old tweets, wherein he was conversing with noted Bollywood singer Shreya Ghoshal, and were trolling the new Twitter boss. But it looks like people are reading too deep between the lines and stirring up unwanted controversy, instead of celebrating Agrawal's new success. The claim Several screenshots of Agrawal's old tweets are being circulated on Twitter. These tweets are basically of conversation that Agrawal had with Shreya Ghoshal several years ago. Netizens are stirring up controversies based on the friendly tweets shared between the Twitter chief and Bollywood playback singer.  Check out some of the tweets below: Fact check International Business Times went through some of the old tweets of Agrawal, where he mentioned Shreya Ghoshal. It appears people are singling out certain tweets without the actual context, using which they are making false assumptions like Agrawal is a hopeless fan of the singer. Agrawal and Shreya Ghoshal share a friendship, which dates back to several years. The duo are extremely close and their better halves share the same bond of friendship with each other. Agrawal is also pretty close to Shreya's husband Shiladitya Mukhopadhyaya, also a techie. The duo seem to share a close bond, be it catching up whenever they are in the same town or sharing updates on TV shows like Game of Thrones. Some netizens were quick to call out the misconceptions about Shreya and Agrawal's friendship.  In fact, when the appointment of Agrawal as Twitter CEO was confirmed, Shreya was among the first ones to congratulate the IIT man. Going by the tweets between Agrawal and Shreya, it's clear that the two share a good friendship. Like any other friends, they would like to hit each other up on social media and these exchanges are just friendly banter, nothing more.","
Steven Klein                                            ",https://www.ibtimes.co.in/fact-check-no-parag-agrawal-not-hopeless-shreya-ghoshal-fan-theyre-friends-843235
